Time (GMT);Link;Website : subject;Website : member name
22/04/2024 21:11;"https://forums.liveatc.net/index.php?action=dlattach;topic=17681.0;attach=12407";SWR17K Rejects Takeoff at KJFK due to Traffic on the Runway ;ronr530 
22/04/2024 14:43;"https://forums.liveatc.net/index.php?action=dlattach;topic=17680.0;attach=12406";Aircraft got onto access road while taxiing Burlington ;kb4tez 
22/04/2024 14:21;"https://forums.liveatc.net/index.php?action=dlattach;topic=17679.0;attach=12405";Aircraft veers off runway landing Boise ID ;kb4tez 
22/04/2024 14:04;"https://forums.liveatc.net/index.php?action=dlattach;topic=17678.0;attach=12402";UAL260 Tailstrike on Takeoff from KIAD ;ronr530 
22/04/2024 14:03;"https://forums.liveatc.net/index.php?action=dlattach;topic=17677.0;attach=12401";Aircraft veers off runway with gear collapse Ann Arbor ;kb4tez 
22/04/2024 13:33;"https://forums.liveatc.net/index.php?action=dlattach;topic=17676.0;attach=12400";Nose gear collapse Farmington ;kb4tez 
22/04/2024 10:14;"https://forums.liveatc.net/index.php?action=dlattach;topic=17675.0;attach=12399";Emergency crews rescue three people from flipped aircraft in Paso Robles  ;kb4tez 
20/04/2024 17:24;"https://forums.liveatc.net/index.php?action=dlattach;topic=17669.0;attach=12395";Funny Thing I heard... ;ronr530 
19/04/2024 15:13;"https://forums.liveatc.net/index.php?action=dlattach;topic=17668.0;attach=12394";Delta flight from Savannah declares emergency upon landing in Atlanta ;kb4tez 
18/04/2024 13:20;"https://forums.liveatc.net/index.php?action=dlattach;topic=17667.0;attach=12393";EDV4903 Possible Drone Strike ;ronr530 
17/04/2024 19:06;"https://forums.liveatc.net/index.php?action=dlattach;topic=17665.0;attach=12392";Single engine aircraft crashes in field in North Texas ;kb4tez 
17/04/2024 12:54;"https://forums.liveatc.net/index.php?action=dlattach;topic=17664.0;attach=12391";Plane flips on landing Carson Nevada ;kb4tez 
17/04/2024 09:54;"https://forums.liveatc.net/index.php?action=dlattach;topic=17663.0;attach=12390";Small plane makes emergency landing at Kapiolani Park ;kb4tez 
16/04/2024 18:58;"https://forums.liveatc.net/index.php?action=dlattach;topic=17662.0;attach=12389";Gear Fire at Pueblo Colorado ;kb4tez 
16/04/2024 14:37;"https://forums.liveatc.net/index.php?action=dlattach;topic=17660.0;attach=12372";1 dead after plane crash in Anderson County ;kb4tez 
16/04/2024 12:39;"https://forums.liveatc.net/index.php?action=dlattach;topic=17659.0;attach=12371";Small plane safely lands without gear in Winter Haven ;kb4tez 
11/04/2024 09:44;"https://forums.liveatc.net/index.php?action=dlattach;topic=17655.0;attach=12368";Small plane lands in grass at GRR during takeoff ;kb4tez 
10/04/2024 14:54;"https://forums.liveatc.net/index.php?action=dlattach;topic=17653.0;attach=12365";AIRCRAFT LANDED HARD AND NOSE GEAR COLLAPSED ;kb4tez 
10/04/2024 11:52;"https://forums.liveatc.net/index.php?action=dlattach;topic=17651.0;attach=12364";Passenger lands small plane at RDU after pilot suffers medical emergency ;kb4tez 
10/04/2024 03:25;"https://forums.liveatc.net/index.php?action=dlattach;topic=17649.0;attach=12361";DAL1192 Lightning Strike Descending into KATL ;ronr530 
05/04/2024 16:07;"https://forums.liveatc.net/index.php?action=dlattach;topic=17645.0;attach=12360";Engine fire forces Southwest flight to abort takeoff at Lubbock airport ;kb4tez 
05/04/2024 16:00;"https://forums.liveatc.net/index.php?action=dlattach;topic=17644.0;attach=12359";Northeast Earthquake Affects KEWR Operations ;ronr530 
05/04/2024 10:22;"https://forums.liveatc.net/index.php?action=dlattach;topic=17642.0;attach=12358";Small plane makes emergency landing on US1 in Chatham County ;kb4tez 
04/04/2024 13:07;"https://forums.liveatc.net/index.php?action=dlattach;topic=17641.0;attach=12357";Plane makes emergency landing in Yolo County field Sacramento ;kb4tez 
04/04/2024 12:46;"https://forums.liveatc.net/index.php?action=dlattach;topic=17640.0;attach=12352";Plane Landing Gear Mishap Closes Santa Barbara Airport Runway ;kb4tez 
04/04/2024 12:19;"https://forums.liveatc.net/index.php?action=dlattach;topic=17639.0;attach=12351";Passenger  flight attendant injured during severe turbulence on Southwest flight ;kb4tez 
03/04/2024 14:10;"https://forums.liveatc.net/index.php?action=dlattach;topic=17638.0;attach=12350";Plane forced to make emergency landing at Gold Coast Airport due to landing gear ;kb4tez 
03/04/2024 10:16;"https://forums.liveatc.net/index.php?action=dlattach;topic=17637.0;attach=12349";Sault College training plane crashes two taken to hospital ;kb4tez 
03/04/2024 09:59;"https://forums.liveatc.net/index.php?action=dlattach;topic=17636.0;attach=12348";Fedex A306 at Boise on Mar 28th radio problems ;kb4tez 
02/04/2024 19:39;"https://forums.liveatc.net/index.php?action=dlattach;topic=17635.0;attach=12347";American Airlines plane hits parked aircraft while leaving gate at Philadelphia ;kb4tez 
02/04/2024 14:25;"https://forums.liveatc.net/index.php?action=dlattach;topic=17634.0;attach=12346";Gear Up Landing Torrence for the second time ;kb4tez 
